Day,#033122,#040122,#041122,#041922,#071022,#072222,#081922,#111721,#091121,#052322,#071722,#102222,#102522
P0,1,19,0,0,16,24,3,1,18,6,2,6,5
P1,0,0,0,0,30,8,1,14,11,0,0,4,0
P2,0,1,1,0,2,6,0,0,23,0,0,0,1
P3,0,1,6,0,0,3,0,0,4,0,0,0,0
P4,0,4,0,0,1,3,0,0,2,0,0,0,2
P5,0,1,1,0,0,1,0,0,2,0,0,1,3
