#091121,,#111721,,#033122,,#040122,,#041122,,#041922,,#071022,,#072222,,#081922,,#102522,,#052322,,#071722,,#102222,,,,,
Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,Map,% reduction,,,,
7.89,0,7.07,0,5.64,0,,,,,5.9,0,7.18,0,7.4,0,7.21,0,7.4,0,,,8.01,0,8.08,0,,,,
,,7.15,0,5.68,0,,,,,5.92,0,7.26,0,7.56,0,7.29,0,7.48,0,,,,,8.16,0,,,,
,,7.35,0,5.72,0,,,,,5.96,0,7.34,0,7.64,0,7.37,0,7.56,0,,,,,,,,,,
,,7.43,0,5.76,0,,,,,6.04,0,7.42,0,7.72,0,7.45,0,7.64,0,,,,,,,,,,
,,7.51,0,5.8,0,,,,,6.08,0,7.5,0,7.8,0,7.53,0,7.72,0,,,,,,,,,,
,,7.59,0,5.84,0,,,,,6.12,0,7.58,0,7.88,0,7.61,0,7.8,0,,,,,,,,,,
,,7.67,0,5.88,0,,,,,6.24,0,7.66,0,7.96,0,7.69,0,7.88,0,,,,,,,,,,
,,,,5.92,0,,,,,6.32,0,7.74,0,,,7.77,0,7.96,0,,,,,,,,,,
,,,,6.88,0,,,,,6.4,0,7.85,0,,,7.85,0,,,,,,,,,,,,
,,,,6.96,0,,,,,6.48,0,,,,,7.93,0,,,,,,,,,,,,
,,,,7.04,0,,,,,6.56,0,,,,,,,,,,,,,,,,,,
,,,,7.12,0,,,,,6.68,0,,,,,,,,,,,,,,,,,,
,,,,7.2,0,,,,,6.8,0,,,,,,,,,,,,,,,,,,
,,,,7.28,0,,,,,6.88,0,,,,,,,,,,,,,,,,,,
,,,,7.36,0,,,,,6.98,21.4,,,,,,,,,,,,,,,,,,
,,,,7.44,0,,,,,7.1,0,,,,,,,,,,,,,,,,,,
,,,,7.52,0,,,,,7.22,0,,,,,,,,,,,,,,,,,,
,,,,7.6,0,,,,,7.34,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,7.46,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,7.54,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,7.66,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,7.78,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,7.86,0,,,,,,,,,,,,,,,,,,
