"","Cohort","avg_latency"
"1","#033122",0.16
"2","#040122",0.325
"3","#041122",0.231666666666667
"4","#041922",0.1
"5","#71022",0.346666666666667
"6","#072222",0.291666666666667
"7","#081922",0.178333333333333
"8","#111721",0.245
"9","#091121",0.728333333333333
"10","#052322",0.161666666666667
"11","#071722",0.136666666666667
"12","#102222",0.183333333333333
"13","#102522",0.158333333333333
